Timestamp,Device,Distance_82,Distance_83,X,Y
1720123557.0287309,Distance,0.75,0,0,0
1720123557.0430622,Distance,0.75,0.72,0.52205,0.5384828664869478
1720123557.1520205,Distance,0.76,0.72,0.5296,0.5450906713566102
1720123557.166258,Distance,0.76,0.68,0.5575999999999999,0.5164128580893393
1720123557.2748249,Distance,0.76,0.68,0.5575999999999999,0.5164128580893393
1720123557.2888656,Distance,0.76,0.66,0.571,0.501556577067832
1720123557.5208063,Distance,0.78,0.66,0.5864,0.5143296997063265
1720123557.5354304,Distance,0.78,0.73,0.5377500000000001,0.5649999446902627
1720123557.6435513,Distance,0.77,0.73,0.53,0.5585696017507576
1720123557.657593,Distance,0.77,0.66,0.57865,0.5080001747046944
1720123557.7671986,Distance,0.72,0.66,0.5414,0.47464306589267685
1720123557.7811992,Distance,0.72,0.64,0.5544,0.459391597659339
1720123557.89037,Distance,0.76,0.64,0.584,0.48635789291426135
1720123557.9044282,Distance,0.76,0.67,0.5643499999999999,0.5090275802940348
1720123558.0130522,Distance,0.73,0.67,0.5419999999999999,0.4890153371827923
1720123558.0274863,Distance,0.73,0.7,0.52145,0.5108717035616672
1720123558.1365788,Distance,0.76,0.7,0.5438,0.5309251924706532
1720123558.1505797,Distance,0.76,0.54,0.6429999999999999,0.4051555256935293
1720123558.258773,Distance,0.76,0.54,0.6429999999999999,0.4051555256935293
1720123558.2727656,Distance,0.76,0.63,0.5903499999999999,0.47863020955639657
1720123558.3819988,Distance,0.74,0.63,0.57535,0.4653733742920838
1720123558.3961372,Distance,0.74,0.69,0.5357500000000001,0.5104624741349749
1720123558.5050626,Distance,0.77,0.69,0.5584,0.5301786868594399
1720123558.5190685,Distance,0.77,0.55,0.6452,0.42025820634462346
1720123558.628428,Distance,0.68,0.55,0.5799500000000001,0.35504647231031605
1720123558.6419287,Distance,0.68,0.63,0.5327500000000001,0.4225842371646156
1720123558.7508416,Distance,0.71,0.63,0.5536,0.4445526290553234
1720123558.76486,Distance,0.71,0.61,0.5660000000000001,0.42865370638780187
1720123558.8738189,Distance,0.78,0.61,0.61815,0.47570009196972
1720123558.8878245,Distance,0.78,0.55,0.65295,0.42668055674005123
1720123558.9964335,Distance,0.74,0.55,0.62255,0.4000393699375099
1720123559.0103815,Distance,0.74,0.55,0.62255,0.4000393699375099
1720123559.1192,Distance,0.71,0.55,0.6008,0.3783376269947254
1720123559.1338675,Distance,0.71,0.68,0.5208499999999999,0.48250935483159296
1720123559.2432404,Distance,0.73,0.68,0.5352499999999999,0.4963944374184708
1720123559.2575226,Distance,0.73,0.67,0.5419999999999999,0.4890153371827923
1720123559.3666165,Distance,0.66,0.67,0.49335,0.4384127934948979
1720123559.380643,Distance,0.66,0.63,0.51935,0.4072782556189319
1720123559.7347515,Distance,0.62,0.63,0.49375,0.3749812495312266
1720123559.7485464,Distance,0.62,0.66,0.47440000000000004,0.3991799594168023
