datetime,Distance_82,Distance_83
2024-07-05 04:05:57.028731,0.75,0.0
2024-07-05 04:05:57.043062,0.75,0.72
2024-07-05 04:05:57.152020,0.76,0.72
2024-07-05 04:05:57.166258,0.76,0.68
2024-07-05 04:05:57.274825,0.76,0.68
2024-07-05 04:05:57.288866,0.76,0.66
2024-07-05 04:05:57.520806,0.78,0.66
2024-07-05 04:05:57.535430,0.78,0.73
2024-07-05 04:05:57.643551,0.77,0.73
2024-07-05 04:05:57.657593,0.77,0.66
2024-07-05 04:05:57.767199,0.72,0.66
2024-07-05 04:05:57.781199,0.72,0.64
2024-07-05 04:05:57.890370,0.76,0.64
2024-07-05 04:05:57.904428,0.76,0.67
2024-07-05 04:05:58.013052,0.73,0.67
2024-07-05 04:05:58.027486,0.73,0.7
2024-07-05 04:05:58.136579,0.76,0.7
2024-07-05 04:05:58.150580,0.76,0.54
2024-07-05 04:05:58.258773,0.76,0.54
2024-07-05 04:05:58.272766,0.76,0.63
2024-07-05 04:05:58.381999,0.74,0.63
2024-07-05 04:05:58.396137,0.74,0.69
2024-07-05 04:05:58.505063,0.77,0.69
2024-07-05 04:05:58.519068,0.77,0.55
2024-07-05 04:05:58.628428,0.68,0.55
2024-07-05 04:05:58.641929,0.68,0.63
2024-07-05 04:05:58.750842,0.71,0.63
2024-07-05 04:05:58.764860,0.71,0.61
2024-07-05 04:05:58.873819,0.78,0.61
2024-07-05 04:05:58.887824,0.78,0.55
2024-07-05 04:05:58.996433,0.74,0.55
2024-07-05 04:05:59.010382,0.74,0.55
2024-07-05 04:05:59.119200,0.71,0.55
2024-07-05 04:05:59.133868,0.71,0.68
2024-07-05 04:05:59.243240,0.73,0.68
2024-07-05 04:05:59.257523,0.73,0.67
2024-07-05 04:05:59.366616,0.66,0.67
2024-07-05 04:05:59.380643,0.66,0.63
2024-07-05 04:05:59.734752,0.62,0.63
2024-07-05 04:05:59.748546,0.62,0.66
2024-07-05 04:05:59.858083,0.62,0.66
2024-07-05 04:05:59.872410,0.62,0.6
2024-07-05 04:05:59.981730,0.64,0.6
2024-07-05 04:05:59.994953,0.64,0.6
2024-07-05 04:06:00.103931,0.64,0.6
2024-07-05 04:06:00.117832,0.64,0.63
2024-07-05 04:06:00.226798,0.61,0.63
2024-07-05 04:06:00.240799,0.61,0.64
2024-07-05 04:06:00.350121,0.65,0.64
2024-07-05 04:06:00.364089,0.65,0.68
2024-07-05 04:06:00.473480,0.68,0.68
2024-07-05 04:06:00.486474,0.68,0.64
2024-07-05 04:06:00.595865,0.83,0.64
2024-07-05 04:06:00.609886,0.83,0.65
2024-07-05 04:06:00.718475,1.0,0.65
2024-07-05 04:06:00.732367,1.0,0.61
2024-07-05 04:06:00.842077,0.46,0.61
2024-07-05 04:06:00.855776,0.46,0.6
2024-07-05 04:06:00.964801,0.62,0.6
2024-07-05 04:06:00.978810,0.62,0.56
2024-07-05 04:06:01.087969,0.62,0.56
2024-07-05 04:06:01.101114,0.62,0.6
2024-07-05 04:06:01.211326,0.8,0.6
2024-07-05 04:06:01.224336,0.8,0.59
2024-07-05 04:06:01.333973,0.61,0.59
2024-07-05 04:06:01.347293,0.61,0.63
2024-07-05 04:06:01.456654,0.61,0.63
2024-07-05 04:06:01.471083,0.61,0.62
2024-07-05 04:06:01.580685,0.5,0.62
2024-07-05 04:06:01.593698,0.5,0.58
2024-07-05 04:06:01.702790,0.53,0.58
2024-07-05 04:06:01.716940,0.53,0.62
2024-07-05 04:06:01.826867,0.65,0.62
2024-07-05 04:06:01.840002,0.65,0.63
2024-07-05 04:06:01.948970,0.64,0.63
2024-07-05 04:06:01.962965,0.64,0.56
2024-07-05 04:06:02.318633,0.97,0.56
2024-07-05 04:06:02.331701,0.97,0.59
2024-07-05 04:06:02.440738,0.74,0.59
2024-07-05 04:06:02.454962,0.74,0.67
2024-07-05 04:06:02.564009,0.86,0.67
2024-07-05 04:06:02.577485,0.86,0.62
2024-07-05 04:06:02.687129,0.88,0.62
2024-07-05 04:06:02.700184,0.88,0.59
2024-07-05 04:06:02.809736,0.87,0.59
2024-07-05 04:06:02.823679,0.87,0.61
2024-07-05 04:06:02.932544,0.95,0.61
2024-07-05 04:06:02.946747,0.95,0.63
2024-07-05 04:06:03.055952,0.8,0.63
2024-07-05 04:06:03.069941,0.8,0.59
2024-07-05 04:06:03.178723,0.84,0.59
2024-07-05 04:06:03.192731,0.84,0.53
2024-07-05 04:06:03.301367,0.83,0.53
2024-07-05 04:06:03.315376,0.83,0.59
2024-07-05 04:06:03.424894,0.76,0.59
2024-07-05 04:06:03.439374,0.76,0.67
2024-07-05 04:06:03.547902,0.74,0.67
2024-07-05 04:06:03.561902,0.74,0.58
2024-07-05 04:06:03.670462,0.83,0.58
2024-07-05 04:06:03.684454,0.83,0.61
2024-07-05 04:06:03.794501,0.77,0.61
2024-07-05 04:06:03.808115,0.77,0.6
2024-07-05 04:06:03.916793,0.73,0.6
2024-07-05 04:06:03.930317,0.73,0.62
2024-07-05 04:06:04.039524,0.79,0.62
2024-07-05 04:06:04.053460,0.79,0.6
2024-07-05 04:06:04.162775,0.69,0.6
2024-07-05 04:06:04.176856,0.69,0.61
2024-07-05 04:06:04.286356,0.81,0.61
2024-07-05 04:06:04.300429,0.81,0.59
2024-07-05 04:06:04.409276,0.71,0.59
2024-07-05 04:06:04.422674,0.71,0.67
2024-07-05 04:06:04.532037,0.76,0.67
2024-07-05 04:06:04.546047,0.76,0.62
2024-07-05 04:06:04.900802,0.74,0.62
2024-07-05 04:06:04.914679,0.74,0.61
2024-07-05 04:06:05.023538,0.77,0.61
2024-07-05 04:06:05.038079,0.77,0.61
2024-07-05 04:06:05.147075,0.77,0.61
2024-07-05 04:06:05.161122,0.77,0.6
2024-07-05 04:06:05.269814,0.79,0.6
2024-07-05 04:06:05.283791,0.79,0.66
2024-07-05 04:06:05.392538,0.77,0.66
2024-07-05 04:06:05.406559,0.77,0.61
2024-07-05 04:06:05.516332,0.77,0.61
2024-07-05 04:06:05.529356,0.77,0.62
2024-07-05 04:06:05.639068,0.78,0.62
2024-07-05 04:06:05.652991,0.78,0.61
2024-07-05 04:06:05.761900,0.72,0.61
2024-07-05 04:06:05.775200,0.72,0.62
2024-07-05 04:06:05.884729,0.8,0.62
2024-07-05 04:06:05.898957,0.8,0.6
